folder,file_name,full_path,sample_rate,duration_sec,channels,bit_depth
female_1,1.wav,D:\AlterDubDatasets\female_1\1.wav,48000,6.784,1,24
female_1,10.wav,D:\AlterDubDatasets\female_1\10.wav,48000,8.106666667,1,24
female_1,100.wav,D:\AlterDubDatasets\female_1\100.wav,48000,9.473333333,1,24
female_1,101.wav,D:\AlterDubDatasets\female_1\101.wav,48000,9.828,1,24
female_1,102.wav,D:\AlterDubDatasets\female_1\102.wav,48000,9.184,1,24
female_1,103.wav,D:\AlterDubDatasets\female_1\103.wav,48000,7.625333333,1,24
female_1,104.wav,D:\AlterDubDatasets\female_1\104.wav,48000,7.970666667,1,24
female_1,105.wav,D:\AlterDubDatasets\female_1\105.wav,48000,9.744,1,24
female_1,106.wav,D:\AlterDubDatasets\female_1\106.wav,48000,10.024,1,24
female_1,107.wav,D:\AlterDubDatasets\female_1\107.wav,48000,9.081333333,1,24
female_1,108.wav,D:\AlterDubDatasets\female_1\108.wav,48000,9.342666667,1,24
female_1,109.wav,D:\AlterDubDatasets\female_1\109.wav,48000,9.576,1,24
female_1,11.wav,D:\AlterDubDatasets\female_1\11.wav,48000,7.872,1,24
female_1,110.wav,D:\AlterDubDatasets\female_1\110.wav,48000,8.568,1,24
female_1,111.wav,D:\AlterDubDatasets\female_1\111.wav,48000,9.389333333,1,24
female_1,112.wav,D:\AlterDubDatasets\female_1\112.wav,48000,9.137333333,1,24
female_1,113.wav,D:\AlterDubDatasets\female_1\113.wav,48000,9.837333333,1,24
female_1,114.wav,D:\AlterDubDatasets\female_1\114.wav,48000,9.594666667,1,24
female_1,115.wav,D:\AlterDubDatasets\female_1\115.wav,48000,8.521333333,1,24
female_1,116.wav,D:\AlterDubDatasets\female_1\116.wav,48000,9.930666667,1,24
female_1,117.wav,D:\AlterDubDatasets\female_1\117.wav,48000,9.062666667,1,24
female_1,118.wav,D:\AlterDubDatasets\female_1\118.wav,48000,8.997333333,1,24
female_1,119.wav,D:\AlterDubDatasets\female_1\119.wav,48000,9.566666667,1,24
female_1,12.wav,D:\AlterDubDatasets\female_1\12.wav,48000,6.058666667,1,24
female_1,120.wav,D:\AlterDubDatasets\female_1\120.wav,48000,9.538666667,1,24
female_1,121.wav,D:\AlterDubDatasets\female_1\121.wav,48000,8.166666667,1,24
female_1,122.wav,D:\AlterDubDatasets\female_1\122.wav,48000,7.961333333,1,24
female_1,123.wav,D:\AlterDubDatasets\female_1\123.wav,48000,10.25733333,1,24
female_1,124.wav,D:\AlterDubDatasets\female_1\124.wav,48000,9.697333333,1,24
female_1,125.wav,D:\AlterDubDatasets\female_1\125.wav,48000,8.241333333,1,24
female_1,126.wav,D:\AlterDubDatasets\female_1\126.wav,48000,10.01466667,1,24
female_1,127.wav,D:\AlterDubDatasets\female_1\127.wav,48000,9.454666667,1,24
female_1,128.wav,D:\AlterDubDatasets\female_1\128.wav,48000,8.558666667,1,24
female_1,129.wav,D:\AlterDubDatasets\female_1\129.wav,48000,9.249333333,1,24
female_1,13.wav,D:\AlterDubDatasets\female_1\13.wav,48000,10.73066667,1,24
female_1,130.wav,D:\AlterDubDatasets\female_1\130.wav,48000,9.193333333,1,24
female_1,131.wav,D:\AlterDubDatasets\female_1\131.wav,48000,7.989333333,1,24
female_1,132.wav,D:\AlterDubDatasets\female_1\132.wav,48000,9.604,1,24
female_1,133.wav,D:\AlterDubDatasets\female_1\133.wav,48000,9.081333333,1,24
female_1,134.wav,D:\AlterDubDatasets\female_1\134.wav,48000,9.305333333,1,24
female_1,135.wav,D:\AlterDubDatasets\female_1\135.wav,48000,9.902666667,1,24
female_1,137.wav,D:\AlterDubDatasets\female_1\137.wav,48000,9.865333333,1,24
female_1,138.wav,D:\AlterDubDatasets\female_1\138.wav,48000,8.904,1,24
female_1,139.wav,D:\AlterDubDatasets\female_1\139.wav,48000,9.734666667,1,24
female_1,14.wav,D:\AlterDubDatasets\female_1\14.wav,48000,9.696,1,24
female_1,140.wav,D:\AlterDubDatasets\female_1\140.wav,48000,8.017333333,1,24
female_1,141.wav,D:\AlterDubDatasets\female_1\141.wav,48000,9.613333333,1,24
female_1,142.wav,D:\AlterDubDatasets\female_1\142.wav,48000,8.782666667,1,24
female_1,143.wav,D:\AlterDubDatasets\female_1\143.wav,48000,8.222666667,1,24
female_1,144.wav,D:\AlterDubDatasets\female_1\144.wav,48000,9.66,1,24
female_1,145.wav,D:\AlterDubDatasets\female_1\145.wav,48000,9.324,1,24
female_1,146.wav,D:\AlterDubDatasets\female_1\146.wav,48000,8.997333333,1,24
female_1,147.wav,D:\AlterDubDatasets\female_1\147.wav,48000,9.968,1,24
female_1,148.wav,D:\AlterDubDatasets\female_1\148.wav,48000,7.074666667,1,24
female_1,149.wav,D:\AlterDubDatasets\female_1\149.wav,48000,9.034666667,1,24
female_1,15.wav,D:\AlterDubDatasets\female_1\15.wav,48000,8.458666667,1,24
female_1,150.wav,D:\AlterDubDatasets\female_1\150.wav,48000,9.417333333,1,24
female_1,151.wav,D:\AlterDubDatasets\female_1\151.wav,48000,9.006666667,1,24
female_1,152.wav,D:\AlterDubDatasets\female_1\152.wav,48000,9.314666667,1,24
female_1,153.wav,D:\AlterDubDatasets\female_1\153.wav,48000,9.604,1,24
female_1,154.wav,D:\AlterDubDatasets\female_1\154.wav,48000,8.745333333,1,24
female_1,155.wav,D:\AlterDubDatasets\female_1\155.wav,48000,8.26,1,24
female_1,156.wav,D:\AlterDubDatasets\female_1\156.wav,48000,8.661333333,1,24
female_1,157.wav,D:\AlterDubDatasets\female_1\157.wav,48000,9.594666667,1,24
female_1,158.wav,D:\AlterDubDatasets\female_1\158.wav,48000,10.01466667,1,24
female_1,159.wav,D:\AlterDubDatasets\female_1\159.wav,48000,7.924,1,24
female_1,16.wav,D:\AlterDubDatasets\female_1\16.wav,48000,9.504,1,24
female_1,160.wav,D:\AlterDubDatasets\female_1\160.wav,48000,8.726666667,1,24
female_1,161.wav,D:\AlterDubDatasets\female_1\161.wav,48000,6.748,1,24
female_1,162.wav,D:\AlterDubDatasets\female_1\162.wav,48000,7.802666667,1,24
female_1,163.wav,D:\AlterDubDatasets\female_1\163.wav,48000,8.764,1,24
female_1,164.wav,D:\AlterDubDatasets\female_1\164.wav,48000,8.092,1,24
female_1,165.wav,D:\AlterDubDatasets\female_1\165.wav,48000,9.958666667,1,24
female_1,166.wav,D:\AlterDubDatasets\female_1\166.wav,48000,8.745333333,1,24
female_1,167.wav,D:\AlterDubDatasets\female_1\167.wav,48000,8.362666667,1,24
female_1,168.wav,D:\AlterDubDatasets\female_1\168.wav,48000,9.650666667,1,24
female_1,169.wav,D:\AlterDubDatasets\female_1\169.wav,48000,9.109333333,1,24
female_1,17.wav,D:\AlterDubDatasets\female_1\17.wav,48000,8.362666667,1,24
female_1,170.wav,D:\AlterDubDatasets\female_1\170.wav,48000,9.865333333,1,24
female_1,171.wav,D:\AlterDubDatasets\female_1\171.wav,48000,9.762666667,1,24
female_1,172.wav,D:\AlterDubDatasets\female_1\172.wav,48000,9.016,1,24
female_1,173.wav,D:\AlterDubDatasets\female_1\173.wav,48000,9.865333333,1,24
female_1,174.wav,D:\AlterDubDatasets\female_1\174.wav,48000,9.445333333,1,24
female_1,175.wav,D:\AlterDubDatasets\female_1\175.wav,48000,9.697333333,1,24
female_1,176.wav,D:\AlterDubDatasets\female_1\176.wav,48000,9.725333333,1,24
female_1,177.wav,D:\AlterDubDatasets\female_1\177.wav,48000,8.717333333,1,24
female_1,178.wav,D:\AlterDubDatasets\female_1\178.wav,48000,9.762666667,1,24
female_1,179.wav,D:\AlterDubDatasets\female_1\179.wav,48000,7.588,1,24
female_1,18.wav,D:\AlterDubDatasets\female_1\18.wav,48000,8.629333333,1,24
female_1,180.wav,D:\AlterDubDatasets\female_1\180.wav,48000,9.24,1,24
female_1,181.wav,D:\AlterDubDatasets\female_1\181.wav,48000,9.594666667,1,24
female_1,182.wav,D:\AlterDubDatasets\female_1\182.wav,48000,10.01466667,1,24
female_1,183.wav,D:\AlterDubDatasets\female_1\183.wav,48000,9.492,1,24
female_1,184.wav,D:\AlterDubDatasets\female_1\184.wav,48000,8.241333333,1,24
female_1,185.wav,D:\AlterDubDatasets\female_1\185.wav,48000,8.288,1,24
female_1,186.wav,D:\AlterDubDatasets\female_1\186.wav,48000,9.622666667,1,24
female_1,187.wav,D:\AlterDubDatasets\female_1\187.wav,48000,8.437333333,1,24
female_1,188.wav,D:\AlterDubDatasets\female_1\188.wav,48000,9.949333333,1,24
female_1,189.wav,D:\AlterDubDatasets\female_1\189.wav,48000,8.372,1,24
female_1,19.wav,D:\AlterDubDatasets\female_1\19.wav,48000,9.258666667,1,24
female_1,190.wav,D:\AlterDubDatasets\female_1\190.wav,48000,8.437333333,1,24
female_1,191.wav,D:\AlterDubDatasets\female_1\191.wav,48000,7.466666667,1,24
female_1,192.wav,D:\AlterDubDatasets\female_1\192.wav,48000,7.336,1,24
female_1,193.wav,D:\AlterDubDatasets\female_1\193.wav,48000,7.942666667,1,24
female_1,194.wav,D:\AlterDubDatasets\female_1\194.wav,48000,6.906666667,1,24
female_1,195.wav,D:\AlterDubDatasets\female_1\195.wav,48000,5.6,1,24
female_1,196.wav,D:\AlterDubDatasets\female_1\196.wav,48000,9.66,1,24
female_1,197.wav,D:\AlterDubDatasets\female_1\197.wav,48000,9.090666667,1,24
female_1,198.wav,D:\AlterDubDatasets\female_1\198.wav,48000,8.465333333,1,24
female_1,199.wav,D:\AlterDubDatasets\female_1\199.wav,48000,9.66,1,24
female_1,2.wav,D:\AlterDubDatasets\female_1\2.wav,48000,5.557333333,1,24
female_1,20.wav,D:\AlterDubDatasets\female_1\20.wav,48000,9.578666667,1,24
female_1,200.wav,D:\AlterDubDatasets\female_1\200.wav,48000,9.884,1,24
female_1,201.wav,D:\AlterDubDatasets\female_1\201.wav,48000,10.024,1,24
female_1,202.wav,D:\AlterDubDatasets\female_1\202.wav,48000,8.409333333,1,24
female_1,203.wav,D:\AlterDubDatasets\female_1\203.wav,48000,9.865333333,1,24
female_1,204.wav,D:\AlterDubDatasets\female_1\204.wav,48000,8.96,1,24
female_1,205.wav,D:\AlterDubDatasets\female_1\205.wav,48000,6.356,1,24
female_1,206.wav,D:\AlterDubDatasets\female_1\206.wav,48000,7.093333333,1,24
female_1,207.wav,D:\AlterDubDatasets\female_1\207.wav,48000,10.024,1,24
female_1,208.wav,D:\AlterDubDatasets\female_1\208.wav,48000,8.54,1,24
female_1,209.wav,D:\AlterDubDatasets\female_1\209.wav,48000,8.716333333,1,24
female_1,21.wav,D:\AlterDubDatasets\female_1\21.wav,48000,8.832,1,24
female_1,210.wav,D:\AlterDubDatasets\female_1\210.wav,48000,8.409333333,1,24
female_1,211.wav,D:\AlterDubDatasets\female_1\211.wav,48000,9.268,1,24
female_1,212.wav,D:\AlterDubDatasets\female_1\212.wav,48000,9.090666667,1,24
female_1,213.wav,D:\AlterDubDatasets\female_1\213.wav,48000,9.566666667,1,24
female_1,214.wav,D:\AlterDubDatasets\female_1\214.wav,48000,9.314666667,1,24
female_1,215.wav,D:\AlterDubDatasets\female_1\215.wav,48000,8.269333333,1,24
female_1,216.wav,D:\AlterDubDatasets\female_1\216.wav,48000,8.988,1,24
female_1,217.wav,D:\AlterDubDatasets\female_1\217.wav,48000,7.849333333,1,24
female_1,218.wav,D:\AlterDubDatasets\female_1\218.wav,48000,8.484,1,24
female_1,219.wav,D:\AlterDubDatasets\female_1\219.wav,48000,8.474666667,1,24
female_1,22.wav,D:\AlterDubDatasets\female_1\22.wav,48000,8.576,1,24
female_1,220.wav,D:\AlterDubDatasets\female_1\220.wav,48000,9.370666667,1,24
female_1,221.wav,D:\AlterDubDatasets\female_1\221.wav,48000,8.754666667,1,24
female_1,222.wav,D:\AlterDubDatasets\female_1\222.wav,48000,9.305333333,1,24
female_1,223.wav,D:\AlterDubDatasets\female_1\223.wav,48000,9.790666667,1,24
female_1,224.wav,D:\AlterDubDatasets\female_1\224.wav,48000,6.972,1,24
female_1,225.wav,D:\AlterDubDatasets\female_1\225.wav,48000,9.52,1,24
female_1,226.wav,D:\AlterDubDatasets\female_1\226.wav,48000,7.821333333,1,24
female_1,227.wav,D:\AlterDubDatasets\female_1\227.wav,48000,9.977333333,1,24
female_1,228.wav,D:\AlterDubDatasets\female_1\228.wav,48000,7.998666667,1,24
female_1,229.wav,D:\AlterDubDatasets\female_1\229.wav,48000,9.454666667,1,24
female_1,23.wav,D:\AlterDubDatasets\female_1\23.wav,48000,7.338666667,1,24
